pid,utt,utt_type,conf,needs_review,utt_ind,outcome
p92,i want to play g2,Think Aloud,0.6666666666666666,False,0,won
p92,i want to play g2,Common Ground Question,0.6666666666666666,False,0,won
p92,if I play h1 would it be a better option ?,Common Ground Question,1.0,False,1,won
p92,help me to choose between the diferent available moves,Solution Request,1.0,False,2,won
p92,"ok, done , now it's time fo G2 ?",Conversational Acknowledgment,1.0,False,3,won
p92,"ok, done , now it's time fo G2 ?",Common Ground Question,1.0,False,3,won
p92,a1 ?,Common Ground Question,1.0,False,4,won
p92,"i di b6, what now ?",Think Aloud,1.0,False,5,won
p92,"i di b6, what now ?",Solution Request,1.0,False,5,won
p329,what should my next move be?,Solution Request,1.0,False,0,won
p329,how about b6 now?,Common Ground Question,1.0,False,1,won
p329,what would a better move be?,Solution Request,1.0,False,2,won
p329,what now?,Solution Request,1.0,False,3,won
p329,only four spaces left and only three possible moves.  rate them in order of best to worst,Think Aloud,0.6666666666666666,False,4,won
p329,only four spaces left and only three possible moves.  rate them in order of best to worst,Common Ground Question,0.6666666666666666,False,4,won
p523,where would you recommend puttting my next one?,Solution Request,1.0,False,0,lost
p523,why is b6 better than b7? thhere is straight row of whites on row 7,Think Aloud,1.0,False,1,lost
p523,why is b6 better than b7? thhere is straight row of whites on row 7,Knowledge Deficit Question,0.6666666666666666,False,1,lost
p523,ok i get it. after b6 then what would you do,Conversational Acknowledgment,1.0,False,2,lost
p523,ok i get it. after b6 then what would you do,Common Ground Question,0.6666666666666666,False,2,lost
p523,ok i get it. after b6 then what would you do,Solution Request,0.6666666666666666,False,2,lost
p523,so is securing a corner more important than a row,Knowledge Deficit Question,1.0,False,3,lost
p523,if i put b6 does the only thing that changes is the white on a6?,Common Ground Question,1.0,False,4,lost
p266,Where would be the best place to go and why,Solution Request,1.0,False,0,lost
p266,"White did that move instead, what would be good now?",Think Aloud,0.6666666666666666,False,1,lost
p266,"White did that move instead, what would be good now?",Solution Request,1.0,False,1,lost
p266,Would g2 be ok now? Or can they still go diagonally if I do that?,Knowledge Deficit Question,1.0,False,2,lost
p266,Would g2 be ok now? Or can they still go diagonally if I do that?,Common Ground Question,1.0,False,2,lost
p266,So A1 is best?,Common Ground Question,1.0,False,3,lost
p266,"Amazing, thanks for telling me!!! So I should now finish on A1?",Conversational Acknowledgment,1.0,False,4,lost
p266,"Amazing, thanks for telling me!!! So I should now finish on A1?",Common Ground Question,1.0,False,4,lost
p76,Should i go for b7?,Common Ground Question,1.0,False,0,lost
p76,nothing stronger?,Solution Request,0.6666666666666666,False,1,lost
p76,im thinking g2,Think Aloud,1.0,False,2,lost
p76,i dont see much better. a7?,Think Aloud,1.0,False,3,lost
p76,i dont see much better. a7?,Common Ground Question,1.0,False,3,lost
p76,a 7 now?,Common Ground Question,1.0,False,4,lost
p76,b6 maybe?,Common Ground Question,1.0,False,5,lost
p76,i should have done b6,Think Aloud,1.0,False,6,lost
p76,which one leave white with no move?,Solution Request,0.6666666666666666,False,7,lost
p76,a1 now?,Common Ground Question,0.6666666666666666,False,8,lost
p334,Which move do you think is the best move for myself? Consider the next move that white may make.,Solution Request,1.0,False,0,lost
p334,"Ok, what about now?",Conversational Acknowledgment,1.0,False,1,lost
p334,"Ok, what about now?",Solution Request,1.0,False,1,lost
p334,"Okay, what do you think next? I have a7, b6, and g2. Evaluate and explain each move",Conversational Acknowledgment,1.0,False,2,lost
p334,"Okay, what do you think next? I have a7, b6, and g2. Evaluate and explain each move",Common Ground Question,1.0,False,2,lost
p334,"Okay, what do you think next? I have a7, b6, and g2. Evaluate and explain each move",Solution Request,1.0,False,2,lost
p334,"Do you think I made the best moves? I did a1, then h1.",Think Aloud,1.0,False,3,lost
p334,"Do you think I made the best moves? I did a1, then h1.",Common Ground Question,1.0,False,3,lost
p334,"I'm confused on how ""captures"" work - can you explain, in laymans terms as much as possible?",Knowledge Deficit Question,1.0,False,4,lost
p621,"thanks. I'm pretty new to the game and definitely not making the best decisions (as you can see I'm down 8 points right now and there's not that many empty squares left). Why wasn't that last move I made a good one, and what should I consider for the next one instead?",Think Aloud,1.0,False,0,lost
p621,"thanks. I'm pretty new to the game and definitely not making the best decisions (as you can see I'm down 8 points right now and there's not that many empty squares left). Why wasn't that last move I made a good one, and what should I consider for the next one instead?",Conversational Acknowledgment,1.0,False,0,lost
p621,"thanks. I'm pretty new to the game and definitely not making the best decisions (as you can see I'm down 8 points right now and there's not that many empty squares left). Why wasn't that last move I made a good one, and what should I consider for the next one instead?",Knowledge Deficit Question,0.6666666666666666,False,0,lost
p621,"thanks. I'm pretty new to the game and definitely not making the best decisions (as you can see I'm down 8 points right now and there's not that many empty squares left). Why wasn't that last move I made a good one, and what should I consider for the next one instead?",Solution Request,1.0,False,0,lost
p621,"okay that helps. But you're saying h1/a1 are ""huge"" but it doesn't appear that I can play in either spot?",Conversational Acknowledgment,1.0,False,1,lost
p621,"okay that helps. But you're saying h1/a1 are ""huge"" but it doesn't appear that I can play in either spot?",Knowledge Deficit Question,0.6666666666666666,False,1,lost
p621,okay I took that into account and made a move but didn't seem to be a great one. what do you think?,Think Aloud,1.0,False,2,lost
p621,okay I took that into account and made a move but didn't seem to be a great one. what do you think?,Common Ground Question,0.6666666666666666,False,2,lost
p621,okay I went with B8 because it looked like that would have the best outcome but somehow it didn't. I'm not quite sure what happened and how I lost so many empty squares with just that one move!,Think Aloud,1.0,False,3,lost
p621,okay I went with B8 because it looked like that would have the best outcome but somehow it didn't. I'm not quite sure what happened and how I lost so many empty squares with just that one move!,Knowledge Deficit Question,1.0,False,3,lost
p621,"okay but you said the g2 move was risky, so I thought you meant the other two were safer bets",Think Aloud,0.6666666666666666,False,4,lost
p621,"okay but you said the g2 move was risky, so I thought you meant the other two were safer bets",Conversational Acknowledgment,1.0,False,4,lost
p621,okay thanks for the tips,Conversational Acknowledgment,1.0,False,5,lost
p795,I am considering 6b because I expect it to capture several pieces. I don't see any downsides to that decision. Am I missing something?,Think Aloud,1.0,False,0,lost
p795,I am considering 6b because I expect it to capture several pieces. I don't see any downsides to that decision. Am I missing something?,Common Ground Question,1.0,False,0,lost
p795,That makes sense. 2g seems to make a few more pieces stable. Is that a fair assessment?,Think Aloud,0.6666666666666666,False,1,lost
p795,That makes sense. 2g seems to make a few more pieces stable. Is that a fair assessment?,Conversational Acknowledgment,0.6666666666666666,False,1,lost
p795,That makes sense. 2g seems to make a few more pieces stable. Is that a fair assessment?,Common Ground Question,1.0,False,1,lost
p795,Is there a way to set myself up to secure one or both of the remaining corners?,Solution Request,1.0,False,2,lost
p795,"It seems like a7 is the best move with that in mind, since it doesn't give up a corner to White next",Think Aloud,1.0,False,3,lost
p795,It feels like there are no good moves then. c8 might be the least bad,Think Aloud,1.0,False,4,lost
p795,It feels like there are no good moves then. c8 might be the least bad,Common Ground Question,0.6666666666666666,False,4,lost
p611,"So, I am not very good at this and don't understand it all to well, can you explain to me what the next move I should make is and why it works, so I can better understand the game?",Metacomment,1.0,False,0,lost
p611,"So, I am not very good at this and don't understand it all to well, can you explain to me what the next move I should make is and why it works, so I can better understand the game?",Solution Request,1.0,False,0,lost
p611,Wouldn't the white just moive down from A 6 to A7 as soon as I do that though their next turn?,Common Ground Question,0.6666666666666666,False,1,lost
p611,"So what happened, I did what you said and now they are there.",Think Aloud,0.6666666666666666,False,2,lost
p611,"So what happened, I did what you said and now they are there.",Knowledge Deficit Question,1.0,False,2,lost
p611,"So, you trapped me, because obviously this was a move they could make right after, but you didn't tell me. So, now what, how am I supposed to get out of this now? Go to A1?",Common Ground Question,1.0,False,3,lost
p611,"So, you trapped me, because obviously this was a move they could make right after, but you didn't tell me. So, now what, how am I supposed to get out of this now? Go to A1?",Metacomment,0.6666666666666666,False,3,lost
p611,"So, you trapped me, because obviously this was a move they could make right after, but you didn't tell me. So, now what, how am I supposed to get out of this now? Go to A1?",Solution Request,1.0,False,3,lost
p611,That didn't work at all.,Metacomment,0.6666666666666666,False,4,lost
