Prolific ID,Created Prompt,Evaluation
p440,"Create a concrete three-year plan, with milestones, for my friend Julie to expand her following online, prepare her for cookbook publishing, and guide her to start food blogging online. That also welcomes guidance on monetization and on the less obvious necessities but don’t make it too overwhelming as she does work at a hospital and had just adopted a child with her wife. So her available time dedicated to this project each week would be about 10 hours. 
",2
p716,"I need a 3 year plan for growing expanding my following on soical media, For cooking and for  cookbook I am working on",1
p10,"I need you to deep think this entire task, then deep think it two additional times for relativity, and actual real world application reviewing your own work two revisions over in order to make sure it is completely feasible and you aren't just being a ""Yes man"". My wife, Julie has developed a significant following on instragram (700k followers), tiktok (400k followers) and youtube (120k followers). Her audience is mostly busy professionals and parents that are 25-40 years in age. She posts cooking videos. She now wishes to create a cook from recipes from her videos and materials she has posted online. She is presently trying to decide if she wishes to follow a traditional publishing method or delve in to self-publishing. She also wants to share her travel stories about food in her book (She for instance went to france last year and sampled a wide variety of cheeses there). She is however aware that this is a little awkward to include because her brand is about healthy and simple not robust food related travel. I need you to create a concrete 3 year plan, complete with milestones for her to to expand her following, prepare and get her cookbook published. She is open to all guidance regarding monetization and specifically needs advice about sponsorship disclosure. She works 3 days a week already, but has 10 hours to dedicate to this project. Take your time and make sure this response is absolutely ideal, absolutely complete and concrete with milestones included. ",3
p372,"My friend Julie has recently started posting some cooking videos and recipe videos online, and has accumulated 1.2M followers across Instagram (700k), TikTok (400k), and YouTube (120k).
Her audience consists of mostly busy professionals and parents aged 25 - 40, and they love how she makes healthy living seems simple and manageable, offering quick and easy recipes packed with nutrients. 

She wants to expand this presence in several ways: 

COOKBOOK
1. Create a cookbook using recipes she has already published online
2. Write new recipes that are consistent with the theme of the cookbook

She needs pros, cons, and other things to consider when choosing between a traditional literary agent vs self-publishing. 

FOOD BLOGGING
Share her recipes
Share her travel stories about food
Concern 1: how to include things that are off-brand but impressive on these travels (ex: discussing variety of cheeses in France - not always healthy & simple)
Concern 2: how to align indulgent travel content with her “healthy & simple” brand


YOUR GOAL: 


Devise a concrete three-year plan, with milestones, for her to expand her following online, prepare her for cookbook publishing, and guide her to start food blogging online. She'd also welcome guidance on monetization and on the less obvious necessities (as the field changes very quickly and she can get overwhelmed), including but not limited to sponsorship disclosure.

Things to consider heavily:
Julie still works four days a week at a hospital and can only realistically contribute 10 hours a week. She is also budget-constrained as she and her wife just adopted a child.


Be sure to include all goals, specifications of routes, comparison tables, and every instruction I've laid out here, keeping in mind her brand and background. Double-check your plan for full alignment on all steps before outputting a result. ",4
69fdb2e890eaf73d4598b3ac,"I need help formulating a three-year plan, including milestones, for my friend to expand her outreach on her cooking practices, which is currently busy professionals and parents ranging from 25-50 years old, in avenues online, preparation for publishing her cookbook, and to get started with blogging online abut food. She has contacted a literary agent, but wants help with a decision on traditional or self-publishing choices. When it comes to food blogging, her particular interests involve travel and the stories involved. She also would not mind help with finances and other issues, such as sponsorship disclosures. Keep in mind she works four days a week and can reasonably spend 10 hours a week on it, and is constrained financially by a newly adopted child.",3
p495,"I need a concrete three-year plan based around the following aspects: I post cooking videos of quick, healthy recipes to over 1 million followers. I want to grow online, publish a cookbook (an agent has reached out already and I'm torn between a traditional vs self-published book), and I want to start a food blog that mixes recipes with travel stories from my France trip, which leaned indulgent. For reference, I work four days per week and have limited time and budget. I recently adopted a child, and I find the fast changing field overwhelming. Got anything for me?",3
6352c60b4a9850783773f265,"i am a person who posts cooking videos with 1.2 million followers. I want to grow my presence online and also write a cookbook i would like to accomplish this with a three year plan. i also want to stat a blogging site mixing recipes and travel stories with my france trip. i work four days a week, limited time and ihave a kid ",2
p799,"Devise a 3 year plan for a social media chef who works 3 days a week and has limited time but wishes to publish a book book and advise which is better, to use a publisher or self publish",1
p94,What is the best way for Julie to grow online?,1
650c3f3a36d72f87324d708f,"Please produce a three year plan to get me to my goal of growing my online presence and followers, publish a cookbook, and start a food blog (recipes and travel stories). Tell me the pros and cons of a traditional or self publishing cookbook and help me decide which is best.  The three year plan needs to incorporate and take into consideration a limited budget, four day work week, and juggling parenting of a child. Set-up a plan to reach the three year goal and provide step by step instructions. ",3
